"name","location.country"
"Abney Park","United States"
"Abominator","Australia"
"Aborym","Italy"
"Above & Beyond","United Kingdom"
"Abra","Philippines"
"Abracadabra","Spain"
"Abra Moore","United States"
"Agridoce","Brazil"
"Agrypnie","Germany"
"Ahkerat Simpanssit","Finland"
"Ahmaad Aspen","Bahamas"
"Ahmet Şafak","Turkey"
"Aida Cuevas","Mexico"
"Aiden","United States"
"Aiko","Japan"
"Aimee Allen","United States"
"Ainbusk","Sweden"
"Aimee Mann","United States"
"Absenth","Russia"
"Absinthe","United States"
"Abstract Essence","Czech Republic"
"Absoluuttinen Nollapiste","Finland"
"Abstrakt Algebra","Sweden"
"Absu","Dallas"
"Abusus","Germany"
"Abusiveness","Poland"
"Abramelin","Australia"
"Abrasive","Germany"
"Abrogation","Germany"
"Abscess","Benicia"
"Absence","Germany"
"Absent Friends","Australia"
"Absentstar","United States"
"Abserdo","United States"
"Absidia (RU)","Russia"
"Abske Fides","Brazil"
"Absolute Zero","United States"
"Abstinence","United States"
"Abstract Rude","United States"
"A$AP Ferg","United States"
"A*M*E","United Kingdom"
"A-1","United States"
"A Wilhelm Scream","United States"
"A-Dessa","Russia"
"A-Pinks","United States"
"A. L. Lloyd","United Kingdom"
"A.A. Bondy","United States"
"Aion","Poland"
"Airbourne","Australia"
"Airdash","Finland"
"Airged L'amh","Greece"
"Aisles","Chile"
"Aistė Smilgevičiūtė Ir Skylė","Lithuania"
"AJ","United States"
"Absurd Conflict","Czech Republic"
"Absurd Minds","Germany"
"Aby","India"
"Abyssos","Sweden"
"Abîme","France"
"AC/DC","Australia"
"Abysmal Grief","Italy"
"Abysmal Torment","Malta"
"Abyssaria","Germany"
"Abyssic Hate","Australia"
"Abyssphere","Russia"
"Acappella","United States"
"Access","Japan"
"Acceptance","United States"
"A.C. Reed","United States"
"A.J. Croce","United States"
"A.M. Thawn","Germany"
"A.Mia","Japan"
"A.R. Kane","United Kingdom"
"A3","Germany"
"A1","United Kingdom"
"Aabesque","Germany"
"AAK","Germany"
"Aardvark","United Kingdom"
"Aaradhna","New Zealand"
"Aka Moon","Belgium"
"Akerbeltz","Spain"
"Aketo","France"
"Akinyele","United States"
"Akon","Senegal"
"Ace Troubleshooter","United States"
"Ace Wilder","Sweden"
"Achillea","Denmark"
"Achille Togliani","Italy"
"Aceyalone","United States"
"Accessory","Germany"
"Accomplice","United States"
"Ace Cannon","United States"
"Acda En De Munnik","Netherlands"
"Acedi","Denmark"
"Ace Young","United States"
"Accept","Germany"
"Aarne Tenkanen","Finland"
"Aaron Freeman","United States"
"Aaron Gillespie","United States"
"Aaron LaCrate","United States"
"Aaron Kelly","United States"
"Aaron Lewis","United States"
"Aaron Lines","Canada"
"Aaron Pritchett","Canada"
"Aaron Soul","United Kingdom"
"Akute","Belarus"
"Al","United Kingdom"
"Akwid","United States"
"Al Bano & Romina Power","Italy"
"Al Castellana","Italy"
"Al Copley","United States"
"Al Di Meola","United States"
"Al Green","United States"
"Al Kooper","United States"
"Al Miller","United States"
"Al Sirat","Poland"
"Acheron","United States"
"Acid Black Cherry","Japan"
"Acid","Japan"
"Acid Drinkers","Poland"
"Acid Android","Japan"
"Acid Horse","United States"
"Acid Reign","United Kingdom"
"Aching Beauty","France"
"Achilles","United States"
"Acid Bath","United States"
"Ace Hood","United States"
"Acid Mothers Temple & The Melting Paraiso U.F.O.","Japan"
"Acid Witch","United States"
"Acos CoolKAs","Russia"
"Aconite Thrill","United Kingdom"
"Acker Bilk","United Kingdom"
"Aaron Tippin","United States"
"Aaron Tveit","United States"
"AB4","Romania"
"Abaddon Incarnate","Ireland"
"Abandon All Ships","Canada"
"Abazagorath","New Jersey"
"Abbittibbi","Quebec"
"Acid King","United States"
"Aco","Japan"
"Acolyte","Greece"
"Acres And Acres","Canada"
"Acrimonious (GR)","Athens"
"Acroholia","Belgrade"
"Acrophet","United States"
"Across The Sky","United States"
"Action","Canada"
"Action Bronson","New York"
"Acme","Germany"
"Acollective","Israel"
"Acqua Fragile","Italy"
"Acrimony","United Kingdom"
"Across The Atlantic","San Antonio"
"Acropolis","Israel"
"Across The Sun","United States"
"Act Of God","Perm"
"Action Toolbelt","United States"
"Actitud Maria Marta","Argentina"
"Actionslacks","United States"
"Actual Tigers","United States"
"Acursed","Sweden"
"Acumen Nation","United States"
"Abby","Germany"
"ABC","United Kingdom"
"Abductors","United Kingdom"
"Abe Lyman","United States"
"Abe Vigoda","United States"
"Abduktio","Finland"
"Aberdeen City","United States"
"Abel Pintos","Argentina"
"Al Wilson","United States"
"Ala Dos Namorados","Portugal"
"Al-D","United States"
"Alabama Shakes","United States"
"Alabama","United States"
"Alain Chamfort","France"
"Alain Hatot","France"
"Alain Johannes","United States"
"Alan Arkin","United States"
"Alan Cumming","New York"
"Alan Jay Lerner","United States"
"Alan Mills","Canada"
"Alan Price","United Kingdom"
"Alan White","United Kingdom"
"Alana Dante","Belgium"
"Alanis Morissette","Canada"
"Abhijeet Sawant","India"
"Abigail (ES)","Spain"
"Abigail Bailey","United Kingdom"
"Abigail (RO)","Romania"
"Abigail Washburn","United States"
"Abingdon Boys School","Japan"
"Abiotic","United States"
"Ablaze In Hatred","Finland"
"Abnegate","Italy"
"Ablaze My Sorrow","Sweden"
"Aborted Fetus","Russia"
"Activ","Romania"
"ACWL","France"
"Acéldama","Costa Rica"
"Ad Hominem","France"
"Ada","Germany"
"Ad Vitam Aeternam","France"
"Ada Band","Indonesia"
"Adai","United States"
"Adakain","United States"
"Adagio","France"
"Adam","United States"
"Adalita","Australia"
"Ad Frank","United States"
"Ad Visser","Netherlands"
"Ad Inferna","France"
"Ad'hoc-1","France"
"Ada Jones","United States"
"Adalberto Alvarez","Cuba"
"Adalruna","United Kingdom"
"Adam & The Amethysts","Canada"
"Adam & Eve","Germany"
"Adam Again","United States"
"Adam And The Ants","United Kingdom"
"Adam Cohen","Canada"
"Alarum","Australia"
"Alatyr","Slovakia"
"Alb Negru","Romania"
"Albert Collins","United States"
"Albert React","United States"
"Alberta Cross","Brooklyn"
"Alberta Hunter","United States"
"Alberto Cortez","Argentina"
"Abramis Brama","Sweden"
"Abraxas (DE)","Germany"
"Abs","United Kingdom"
"Abs Conditus","Poland"
"Abreaction","United Kingdom"
"Absent Kid","United Kingdom"
"Absentia Lunae","Italy"
"Adam Guettel","United States"
"Adam Harvey","Australia"
"Adam Hicks","United States"
"Adam K","Canada"
"Adam Kowalczyk","Pennsylvania"
"Adam Oehlenschläger","Denmark"
"Adam Rickitt","United Kingdom"
"Adam Wade","United States"
"Adam White","United Kingdom"
"Adam Young","United States"
"Adam Sandler","United States"
"Adam Arcuragi","United States"
"Adam Derry","United States"
"Adam Faith","United Kingdom"
"Adam Brand","Australia"
"Adam Freeland","United Kingdom"
"Adam Lambert","United States"
"Adam Marano","United States"
"Adama","United Kingdom"
"Alborosie","Italy"
"Alcazar","Sweden"
"Alcione","Brazil"
"Absolom","Belgium"
"Abstract Tribe Unique","United States"
"Abstürzende Brieftauben","Germany"
"Absurd","Sondershausen"
"Absynthe Minded","Belgium"
"Abused Majesty","Poland"
"Abwärts","Germany"
"Abysmal Dawn","United States"
"Adamantium","United States"
"Adamski","United Kingdom"
"Adana Twins","Germany"
"Adastra","Finland"
"Adastra (HR)","Croatia"
"Addison Groove Project","United States"
"Addison Road","United States"
"Adela Popescu","Romania"
"Adelitas Way","United States"
"Adem","United Kingdom"
"Adenyum","France"
"Adequate Seven","United Kingdom"
"Adestria","United States"
"Abyssmal Sorrow","Australia"
"AC Acoustics","United Kingdom"
"Access Denied","Germany"
"Accident","United Kingdom"
"Ace","United Kingdom"
"Ace Frehley","San Diego"
"Ace Of Base","Sweden"
"Addict","United Kingdom"
"Addiction Crew","Italy"
"Addrisi Brothers","United States"
"Adeaze","New Zealand"
"Adele Astaire","United States"
"Adele","United Kingdom"
"Adema","United States"
"Adi Smolar","Slovenia"
"Aleandro Baldi","Italy"
"Aled Jones","United Kingdom"
"Alejandro Fuentes","Norway"
"Alejandra Guzmán","Mexico"
"Alejandro Fernández","Mexico"
"Acel Bisa","Philippines"
"Acetone","United States"
"Acid (BE)","Belgium"
"Achim Reichel","Germany"
"Acid Death","Greece"
"Acida","Argentina"
"Acid House Kings","Sweden"
"Acid Rain","United States"
"Acidman","Japan"
"Adibah Noor","Malaysia"
"Adiastasia","Brazil"
"Adiemus","United Kingdom"
"Admiral Freebee","Belgium"
"Admiral Twin","United States"
"Adolescents","United States"
"Adoniram","Russia"
"Adoro","Germany"
"Adorable","United Kingdom"
"Adramelech","Finland"
"Adrian Belew","Mt. Juliet"
"Acoustic Ladyland","United Kingdom"
"Acoustic Alchemy","United Kingdom"
"Acrania","Mexico"
"Acroma","United States"
"Acretongue","Pretoria"
"Acrostichon","Netherlands"
"Across Tundras","Nashville"
"Action!","Czech Republic"
"Action Action","United States"
"Across The Border","Germany"
"Aleka's Attic","United States"
"Alesha","United Kingdom"
"Alessandro Canino","Italy"
"Alessandro Safina","Italy"
"Alesso","Sweden"
"Alex Adair","United Kingdom"
"Alex & Sierra","Florida"
"Alex Baroni","Italy"
"Alex Boyé","United States"
"Alex Bueno","Dominican Republic"
"Alex C.","Germany"
"Alex Chilton","United States"
"Adimiron","Italy"
"Adina Howard","United States"
"Admiral Fallow","United Kingdom"
"Admiral T","Guadeloupe"
"Adolar","Germany"
"Adolphe Adam","France"
"Adolphson-Falk","Sweden"
"Adrenalin O.D.","United States"
"Adrenalin","United States"
"Adrian Borland","United Kingdom"
"Adrian Sherwood","United Kingdom"
"Adrian Younge","United States"
"Adriana Arydes","Brazil"
"Adrienne Pauly","France"
"Advanced Art","Finland"
"Adultery","Czech Republic"
"Adventure Club (CA)","Canada"
"Adult.","United States"
"ADX","France"
"Aegir","Sweden"
"Aenima","Portugal"
"Alex Désert","United States"
"Alex Faith","United States"
"Alex Gaudino","Italy"
"Alex Lee","United Kingdom"
"Alex Lloyd","Australia"
"Alex Pangman","Canada"
"Alex Turner","United Kingdom"
"Alexa Ray Joel","United States"
"Alexander Klaws","Germany"
"Alexander Spence","United States"
"Alexandra Stan","Romania"
"Alexi Murdoch","United Kingdom"
"Alexis HK","France"
"Aeons Confer","Germany"
"Aerodrone","United States"
"Aesma Daeva","United States"
"Aes Dana","France"
"Affluente","Italy"
"African Jazz","Democratic Republic of the Congo"
"Africa Unite","Italy"
"Afrojack","Netherlands"
"Active Child","United States"
"Active Slaughter","United Kingdom"
"Acustimantico","Italy"
"Acylum","Germany"
"AD","United States"
"Ad Astra (ES)","Spain"
"Active Member","Greece"
"Adalberto Santiago","Puerto Rico"
"Adrian Hates","Germany"
"Adrian Lux","Sweden"
"Adrian Rollini","United States"
"Adrian Stern","Switzerland"
"Adriana Calcanhotto","Brazil"
"Adrianne","United States"
"Adrienne Bailon","United States"
"Adrienne Pierce","Canada"
"Advanced Chemistry","Germany"
"Adversary (US-IN)","United States"
"Adèle","France"
"Aegrus","Kouvola"
"After Dark","Sweden"
"Afroman","United States"
"After All","Belgium"
"Afterglow","United States"
"Aftershock","United Kingdom"
"AG","United States"
"Against The Plagues","United States"
"Agallah","United States"
"Against Nature","United States"
"Alexsander Wang Lee Hom","Taiwan"
"Aleš Brichta","Czech Republic"
"Alfa Rococo","Quebec"
"Alfa Eridano Akhernar","Mexico"
"Alfred Howard And The K23 Orchestra","United States"
"Alfredo Gutierrez","United States"
"Alfredo Zitarrosa","Uruguay"
"Algiers","United States"
"Algor Mortis","Germany"
"Ali Dee","United States"
"Ali Dragon","France"
"Alias","Canada"
"Against Me!","United States"
"Age Of Silence","Norway"
"Agathodaimon","Germany"
"Agent Ribbons","United States"
"Agerman","Oakland"
"Agents Of Mercy","Sweden"
"Adam Ant","United Kingdom"
"Adam F","United Kingdom"
"Adam Gnade & The Confederate Yankees","United States"
"Adam Green","United States"
"Adam Merrin","United States"
"Adam Pascal","United States"
"Adam Tensta","Sweden"
"Aereogramme","United Kingdom"
"Aerobitch","Spain"
"Aeternam","Canada"
"Aerosmith","United States"
"Aeverium","Germany"
"Affector","Germany"
"Afficial","United States"
"Afasi & Filthy","Sweden"
"Alibert","France"
"Alice (CZ)","Plzeň"
"Alice Babs","Sweden"
"Alice DeeJay","Netherlands"
"Alice Donut","United States"
"Alice In Chains","United States"
"Alice Peacock","United States"
"Alice Smith","United States"
"Alien Fashion Show","United States"
"Alien Skull Paint","Bremen"
"Adan Chalino Sanchez","Mexico"
"Adaro","Germany"
"Add N To (X)","United Kingdom"
"Adastreia","United Kingdom"
"Addis Black Widow","Sweden"
"Ade Fenton","United Kingdom"
"Adeem","United States"
"Adel Tawil","Germany"
"Aden","United States"
"Adept","Sweden"
"Ades","France"
"ADHD","Iceland"
"Adhesive","Sweden"
"Adicta","Argentina"
"Adie","South Africa"
"Aforomental","Poland"
"AFI","United States"
"Afro-Dite","Sweden"
"Afro Celt Sound System","United Kingdom"
"Afro-Rican","United States"
"After 7","United States"
"After Image","Japan"
"After Crying","Hungary"
"Afterlife (US)","United States"
"Aftershok","Pittsburgh"
"Ag Da Coroner","United States"
"Against The Current","United States"
"Alienation Mental","Czech Republic"
"Alika","Argentina"
"Alina Simone","United States"
"Alisha","United States"
"Alison Jiear","Australia"
"Alison Mosshart","United States"
"Alison Moyet","United Kingdom"
"Alison Wonderland","Sydney"
"Alistair Griffin","United Kingdom"
"Alistair Hulett","United Kingdom"
"All About Eve","United Kingdom"
"All Angels","United Kingdom"
"Adnan Sami","Pakistan"
"Adolescent's Orquesta","Venezuela"
"Adolph Green","United States"
"Adonis","United States"
"Ador Dorath","Czech Republic"
"Adorior","United Kingdom"
"Adramelch","Milan"
"Adrenicide","United Kingdom"
"Adrenaline Mob","United States"
"Adrian Gurvitz","United Kingdom"
"Adriana Lucia","Colombia"
"Adriana Varela","Argentina"
"Agalloch","United States"
"Age Of Daze","Canada"
"Agathocles","Belgium"
"Age Of Nemesis","Hungary"
"Agent 51","United States"
"Ages And Ages","United States"
"Agents Of Oblivion","Louisiana"
"Aggression","Montreal"
"Agir","Portugal"
"Aglarond","Mexico"
"Agnes Poetry","United States"
"Agnetha Fältskog","Sweden"
"Agora","Belgium"
"Agrezzior","Sweden"
"Agu Lüüdik","Estonia"
"Agua De Annique","Netherlands"
"Aguynguerran","Belgium"
"Aggro Santos","United Kingdom"
"Agnelli & Nelson","United Kingdom"
"Agnes Bernelle","Germany"
"Agnosis","United States"
"Agnès Bihl","France"
"Agoria","France"
"Agressor (BR)","Brazil"
"Agression","United States"
"Agrikola Pius","Italy"
"Agustín Lara","Mexico"
"Ahab","Germany"
"Ahma","Finland"
"Ahmad","United States"
"Ahmet Zappa","United States"
"Ahn Trio","United States"
"All Else Failed","United States"
"All Girl Summer Fun Band","United States"
"All Levels At Once","Sunnyvale"
"All Natural Lemon And Lime Flavors","United States"
"All Out War","United States"
"All Shall Perish","United States"
"All The Luck In The World","Ireland"
"All Together Separate","United States"
"All's Quiet","United States"
"All:My:Faults","Darmstadt"
"Allain Leprest","France"
"Adriano Celentano","Italy"
"Adversary","United States"
"Advocatus Diaboli","Germany"
"Aeon","Sweden"
"Ah*Nee*Mah","United States"
"Ahead To The Sea","Germany"
"Ahmad Dhani","Indonesia"
"Ahnenstahl","Austria"
"Ai Ai Ai","Spain"
"Ahu","Turkey"
"Aidan Hawken","United States"
"Aidan John Moffat","United Kingdom"
"Aikakone","Finland"
"Aina (NO)","Norway"
"Ainigma","Germany"
"Ainslie Henderson","United Kingdom"
"Air France","Sweden"
"Air Formation","United Kingdom"
"Airbag","Argentina"
"Air Supply","Australia"
"Airlock","Belgium"
"Aisha (JP)","Japan"
"Aiza Seguerra","Philippines"
"Ak","Japan"
"Ajda Pekkan","Turkey"
"Ak1200","United States"
"Ai Phoenix","Norway"
"Aiden Grimshaw","United Kingdom"
"Aim","United Kingdom"
"Aimee Blackschleger","Japan"
"Aimé Barelli","Monaco"
"Aine Minogue","Ireland"
"Ainjel Emme","United States"
"Air","France"
"Airbag (ES)","Spain"
"Aircrash Bureau","Frankfurt am Main"
"Airhead","United Kingdom"
"Airija","Lithuania"
"Airut","Finland"
"Aisha (LV)","Latvia"
"Ait!","Italy"
"Aizat","Malaysia"
"Ajattara","Finland"
"Ajs Nigrutin","Serbia"
"Ak-Momo","Sweden"
"Aer","United States"
"Aeroplanitaliani","Italy"
"Aeternitas","Germany"
"Aesthetic Perfection","United States"
"Aeveron","Zwickau"
"Affinity","United Kingdom"
"Afflicted","Sweden"
"Aesop Rock","United States"
"Allegiance (AU)","Australia"
"Allen Clapp","United States"
"Alliage","France"
"Allison (CH)","Switzerland"
"Allison Weiss","United States"
"Allo Darlin'","United Kingdom"
"Allure","United States"
"Ally Kerr","United Kingdom"
"Almafuerte","Argentina"
"Akasha","Norway"
"Akbar","United States"
"Akelei","Netherlands"
"Akesaka Satomi","Japan"
"Akercocke","United Kingdom"
"Akhenaton","France"
"Akabu","United Kingdom"
"Akcent","Romania"
"Akela","Hungary"
"Akihide","Japan"
"Akir","United States"
"Akira The Don","United Kingdom"
"Aknestik","Finland"
"Afro-Cuban All Stars","Cuba"
"Afro Kolektyw","Poland"
"Afromental","Poland"
"After Forever","Netherlands"
"After The Bombs","Montreal"
"After Tea","Netherlands"
"After Midnight Project","United States"
"After The Fall","Australia"
"Afterimage","United States"
"Afterlife","United Kingdom"
"Akiva","United States"
"AKMU","South Korea"
"Akordo","Netherlands"
"Akriti Kakkar","India"
"Akroma","France"
"Akron/Family","United States"
"Al Alberts","United States"
"Al B. Sure!","United States"
"Al Denson","United States"
"Al Jarreau","United States"
"Almamegretta","Italy"
"Almyghty Myghty Pythons","United States"
"Aloha From Hell","Germany"
"Alone In A Crowd","United States"
"Alove For Enemies","United States"
"Alpa Gun","Berlin"
"Alphaville","Germany"
"AktiveHate","Portugal"
"AkumajoBelmont","Sydney"
"Akuma","Canada"
"Al Andaluz Project","Germany"
"Al Caiola","United States"
"Al Campbell","Jamaica"
"Al Bowlly","United Kingdom"
"Al Downing","United States"
"Al Haig","United States"
"Al Kapone","United States"
"Al Jolson","United States"
"Al Martino","United States"
"Al Stewart","United Kingdom"
"Alabina","France"
"Aftertaste","South Africa"
"Afterhours","Italy"
"Agapè","Canada"
"Agatus","Greece"
"Age Of Distrust","Australia"
"Agent Fresco","Iceland"
"Agent Sparks","United States"
"Agent Provocateur","United Kingdom"
"Agepê","Brazil"
"Agent Steel","United States"
"Al Viola","United States"
"Al Tall","Valencia"
"Alabama Thunderpussy","United States"
"Alain Barrière","France"
"Alain Clark","Netherlands"
"Alain Delorme","France"
"Alain Goraguer","France"
"Alamo Race Track","Netherlands"
"Alogia","Serbia"
"Alquimia","Mexico"
"Altar (SE)","Sweden"
"Altera Enigma","Australia"
"Altered Images","United Kingdom"
"Alucard (BE)","Belgium"
"Alvacast","Uruguay"
"Alvin Lee","United Kingdom"
"Alvino Rey","United States"
"Aly & Fila","Egypt"
"Aly & AJ","United States"
"Alain Souchon","France"
"Alan Lomax","United States"
"Alan Hull","United Kingdom"
"Alan Morse","United States"
"Alan Parsons","Santa Barbara"
"Alan Walker","Norway"
"Alan Wilkis","United States"
"Alan Stivell","France"
"Alarik","Finland"
"Alas","United States"
"Alaska (UK)","United Kingdom"
"Aggression (ES)","Spain"
"Aghast","Norway"
"Agmen","Czech Republic"
"Agnee","India"
"Agnes","Sweden"
"Agnes Pihlava","Finland"
"Agonoize","Germany"
"Agoraphobic Nosebleed","United States"
"Agregator","Hungary"
"Alan Dawa Dolma","China"
"Alan Menken","United States"
"Alan Pownall","United Kingdom"
"Alan Sorrenti","Italy"
"Alana Davis","United States"
"Alana Grace","United States"
"Alannah Myles","Canada"
"Alasdair Roberts","Scotland"
"Alaska","Spain"
"Alaska!","United States"
"Alaska Y Dinarama","Spain"
"Alastis","Switzerland"
"Alaska In Winter","United States"
"Albatross","Kathmandu"
"Albert Hammond","United Kingdom"
"Albert Lee","United Kingdom"
"Albert Hammond, Jr.","United States"
"Alberti","Italy"
